S.no ,SetPointName,HeaderName,Units
1,SYNGENE_AHU101_MT001,RETURN RH ,%
2,SYNGENE_AHU101_PDT001,PDT,Pa
3,SYNGENE_AHU101_TT001,RETURN TEMP,OC
4,SYNGENE_AHU101_TT001_CW_PID_SP_S,RETURN RH SP,OC
5,SYNGENE_AHU101_MT001_CW_PID_SP_S,RETURN TEMP SP ,%
6,SYNGENE_AHU101_VFD_SPD_REF_S,VFD SPEED REF,Hz
7,SYNGENE_AHU102_MT001,RETURN RH ,%
8,SYNGENE_AHU102_PDT001,PDT,Pa
9,SYNGENE_AHU102_TT001,RETURN TEMP,OC
10,SYNGENE_AHU102_TT001_CW_PID_SP_S,RETURN RH SP,OC
11,SYNGENE_AHU102_MT001_CW_PID_SP_S,RETURN TEMP SP ,%
12,SYNGENE_AHU102_VFD_SPD_REF_S,VFD SPEED REF,Hz
13,SYNGENE_AHU103_MT001,RETURN RH ,%
14,SYNGENE_AHU103_PDT001,PDT,Pa
15,SYNGENE_AHU103_TT001,RETURN TEMP,OC
16,SYNGENE_AHU103_TT001_CW_PID_SP_S,RETURN RH SP,OC
17,SYNGENE_AHU103_MT001_CW_PID_SP_S,RETURN TEMP SP ,%
18,SYNGENE_AHU103_VFD_SPD_REF_S,VFD SPEED REF,Hz
19,SYNGENE_BTU_CHILL_WATERFLOW_1STFLOOR,CHW_VOLUME_FLOW ,m3/hr
20,SYNGENE_BTU_CHILL_WATERRET_TEMP_1STFLOOR,CHW_RETURN_TEMP,OC
21,SYNGENE_BTU_CHILL_WATERSUPPLY_TEMP_1STFLOOR,CHW_SUPPLY_TEMP,OC
22,SYNGENE_BTU_CHILL_WATERTOTAL_ENERGY_1STFLOOR,CHW_TOTAL_ENERGY,Kw-Hr
23,SYNGENE_BTU_HOT_WATERFLOW_1STFLOOR,HW_VOLUME_FLOW ,m3/hr
24,SYNGENE_BTU_HOT_WATERRET_TEMP_1STFLOOR,HW_RETURN_TEMP,OC
25,SYNGENE_BTU_HOT_WATERSUPPLY_TEMP_1STFLOOR,HW_SUPPLY_TEMP,OC
26,SYNGENE_BTU_HOT_WATERTOTAL_ENERGY_1STFLOOR,HW_TOTAL_ENERGY,Kw-hr
27,SYNGENE_F_CO2_FLW_CUM_READ,,
28,SYNGENE_F_CO2_FLW_MONTHLYCONS,,
29,SYNGENE_F_CO2_FLW_PREVDAY_CONS,,
30,SYNGENE_F_CO2_FLW_TODAYCONS,,
31,SYNGENE_F_INST_AIR_FLW_CUM_READ,,
32,SYNGENE_F_INST_AIR_FLW_MONTHLYCONS,INSTAIR__MONTHYNGENE_F_FLW,
33,SYNGENE_F_INST_AIR_FLW_PREVDAY_CONS,INST_PREVDNGENE_F_PREVDAY,
34,SYNGENE_F_INST_AIR_FLW_TODAYCONS,,
35,SYNGENE_F_PORT_WTR_FLW_CUM_READ,PORT_WTR_FLW_CUM_READ,m3/Hr
36,SYNGENE_F_PORT_WTR_FLW_MONTHLYCONS,PORTWTR__MONTHYNGENE_F_FLW,m3/Hr
37,SYNGENE_F_PORT_WTR_FLW_TODAYCONS,PORT_WTR_FLW_TODAYCONS,m3/Hr
38,SYNGENE_F_PWR_DIS_KWH,PWR_DIS_KWH,Kw-hr
39,SYNGENE_F_SER_EQUIP_KWH,SER_EQUIP_KWH,Kw-hr
40,SYNGENE_F_SLDB_KWH,SLDB_KWH,Kw-hr
41,SYNGENE_ST_FLR_HVAC_EQUIP_KWH,HVAC_EQUIP,Kw-hr
42,SYNGENE_ST_FLR_MAIN_UPS_KWH,MAIN UPS,Kw-hr
43,SYNGENE_TFA_MT01,TFA Ambient RH ,%
44,SYNGENE_TFA_TT01,TFA Supply Temperature ,OC
45,SYNGENE_TFA_VFD_SPD_REF_S,TFA VFD REF,Hz
46,SYNGENE_TFA101_MT002,SUPPLY RH,%
47,SYNGENE_TFA101_PDT001,AMBIENT TEMP,Pa
48,SYNGENE_ACTIVE_ENERGY_KWH_MAIN,MAIN_KW,Kw-Hr
49,SYNGENE_AHU_SF002_003_FLOW_POT_WAT_SYS,PORT_WATER_COM_READING,m3/hr
50,SYNGENE_AHU_SF002_003_FLOW_PRO_AIR,PORT_WATER_TDY_CONS,m3/hr
51,SYNGENE_AHU_SF002_MT001,RETURN RH,%
52,SYNGENE_AHU_SF002_PDT001,PDT ,Pa
